epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,18089.2,1.618,5.01901,0.37659,1.20499,1.64177,0.73818,0.63256,0.702,0.38659,0.70342,0.58596,0.57761,0.23184,1.7442,4.03619,0.34937,1.0479,1.53154,0.006436,0.006436,0.006436
38,18568.7,1.61319,5.01641,0.37657,1.20522,1.63782,0.74282,0.63098,0.70261,0.38736,0.70698,0.58876,0.58005,0.23355,1.74188,4.02415,0.34891,1.04634,1.53079,0.006337,0.006337,0.006337
39,19046.2,1.60989,5.00012,0.37559,1.20314,1.63663,0.74399,0.62783,0.70234,0.38805,0.70591,0.59005,0.58026,0.23476,1.74082,4.0132,0.34842,1.04348,1.52942,0.006238,0.006238,0.006238
40,19526.1,1.61194,4.97531,0.37515,1.19757,1.63387,0.74824,0.62799,0.70387,0.38929,0.7076,0.589,0.58099,0.23599,1.73953,4.00236,0.34788,1.04119,1.5273,0.006139,0.006139,0.006139
41,20003.5,1.6056,4.97128,0.37421,1.19271,1.6305,0.74323,0.63303,0.70441,0.39023,0.71028,0.59115,0.58281,0.23771,1.73773,3.99082,0.3475,1.0387,1.52516,0.00604,0.00604,0.00604
42,20490,1.60395,4.95823,0.3741,1.19433,1.63237,0.74096,0.6336,0.70468,0.39056,0.71341,0.59194,0.58408,0.23927,1.73587,3.97908,0.34691,1.036,1.52377,0.005941,0.005941,0.005941
43,20986.8,1.60705,4.94713,0.37378,1.19313,1.6279,0.74549,0.6302,0.70489,0.39179,0.71281,0.59705,0.58679,0.2413,1.73406,3.96814,0.3464,1.0347,1.52209,0.005842,0.005842,0.005842
44,21466.7,1.5983,4.9388,0.37291,1.18578,1.62483,0.74158,0.63608,0.70625,0.39248,0.71516,0.59824,0.58964,0.24405,1.73234,3.95744,0.3459,1.03296,1.52016,0.005743,0.005743,0.005743
45,21964.9,1.60056,4.92689,0.37246,1.1861,1.62287,0.74441,0.63413,0.70696,0.39292,0.71707,0.59997,0.59266,0.24522,1.73025,3.94529,0.34526,1.03133,1.51809,0.005644,0.005644,0.005644
46,22445.8,1.5979,4.90949,0.37217,1.18387,1.62247,0.74507,0.63587,0.70802,0.39406,0.72155,0.60202,0.59636,0.24706,1.72914,3.93329,0.34471,1.0294,1.51585,0.005545,0.005545,0.005545
47,22923.5,1.59455,4.90512,0.3723,1.18135,1.62116,0.74471,0.63539,0.70852,0.39464,0.7243,0.60469,0.59982,0.2487,1.7278,3.92099,0.34416,1.02787,1.51481,0.005446,0.005446,0.005446
48,23425.3,1.59338,4.88996,0.37111,1.179,1.61975,0.74125,0.64074,0.70945,0.39579,0.72378,0.60501,0.60082,0.25041,1.72621,3.91029,0.34378,1.02602,1.51353,0.005347,0.005347,0.005347
49,23902.9,1.5959,4.88496,0.37135,1.17861,1.6175,0.73716,0.64295,0.70982,0.39651,0.72602,0.60642,0.60354,0.25214,1.72415,3.89823,0.3432,1.02418,1.51205,0.005248,0.005248,0.005248
50,24382.8,1.5932,4.85824,0.37005,1.17526,1.61608,0.7406,0.64408,0.71043,0.39668,0.73068,0.60784,0.60788,0.25423,1.72187,3.88747,0.34276,1.02264,1.51038,0.005149,0.005149,0.005149
51,24860.3,1.5872,4.83155,0.36847,1.16774,1.61076,0.73917,0.64556,0.71124,0.39709,0.73209,0.61046,0.60879,0.25509,1.71939,3.876,0.34226,1.02079,1.50816,0.00505,0.00505,0.00505
52,25342,1.58805,4.84418,0.36983,1.16943,1.61372,0.74032,0.64673,0.71171,0.39825,0.73235,0.61351,0.61174,0.25665,1.71726,3.86708,0.34195,1.01946,1.50626,0.004951,0.004951,0.004951
53,25820.2,1.58344,4.81845,0.36852,1.16089,1.60979,0.74483,0.64565,0.71229,0.39871,0.73102,0.6114,0.61159,0.25807,1.71605,3.85704,0.34133,1.01761,1.50522,0.004852,0.004852,0.004852
54,26300.5,1.58357,4.81938,0.36832,1.16674,1.61028,0.74146,0.64736,0.71297,0.39936,0.73323,0.61083,0.61373,0.26043,1.71438,3.84455,0.34097,1.01657,1.5037,0.004753,0.004753,0.004753
55,26778.2,1.57978,4.79448,0.36684,1.15829,1.60694,0.74288,0.64451,0.71371,0.40016,0.73248,0.61467,0.61549,0.2619,1.71271,3.83316,0.34061,1.01448,1.50199,0.004654,0.004654,0.004654
56,27260.6,1.57853,4.80458,0.36702,1.15664,1.60671,0.73827,0.65082,0.71375,0.40047,0.73538,0.61713,0.61825,0.26254,1.71185,3.82384,0.34033,1.01316,1.50087,0.004555,0.004555,0.004555
57,27737.9,1.57436,4.77677,0.36641,1.15168,1.60308,0.74136,0.65019,0.71493,0.40137,0.73516,0.61886,0.61833,0.264,1.7104,3.81496,0.33997,1.01196,1.49987,0.004456,0.004456,0.004456
