epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
37,43138,1.17545,4.59199,0.37831,1.08953,1.36001,0.8332,0.75496,0.85514,0.61143,0.76604,0.63885,0.67156,0.32564,1.01057,3.52238,0.35506,0.85776,1.2515,0.006436,0.006436,0.006436
38,44123.1,1.17446,4.58834,0.37847,1.08886,1.35777,0.83738,0.75315,0.85639,0.61224,0.76743,0.6409,0.67428,0.32798,1.00849,3.50904,0.35449,0.85454,1.24849,0.006337,0.006337,0.006337
39,45102.8,1.16999,4.57139,0.37696,1.08775,1.35459,0.8407,0.75107,0.85685,0.61362,0.76761,0.64587,0.67602,0.33,1.00632,3.49729,0.35403,0.85213,1.24593,0.006238,0.006238,0.006238
40,46406.8,1.16847,4.5436,0.37677,1.0802,1.35061,0.83984,0.75283,0.85691,0.61498,0.76488,0.64751,0.67688,0.33209,1.00438,3.48517,0.35346,0.84936,1.24302,0.006139,0.006139,0.006139
41,47567.8,1.16367,4.53675,0.37534,1.07705,1.34718,0.84224,0.75331,0.85819,0.61612,0.76948,0.64814,0.67841,0.33525,1.00152,3.47354,0.35292,0.84652,1.23953,0.00604,0.00604,0.00604
42,48715.6,1.1652,4.5235,0.37506,1.07359,1.34785,0.84291,0.75409,0.85872,0.6171,0.76854,0.64814,0.68018,0.33699,0.99978,3.46279,0.35241,0.84396,1.23711,0.005941,0.005941,0.005941
43,50428.7,1.16548,4.51453,0.37472,1.07548,1.34599,0.84393,0.75338,0.85948,0.61827,0.76892,0.65129,0.68125,0.3385,0.99758,3.45152,0.35184,0.84156,1.2345,0.005842,0.005842,0.005842
44,51943.6,1.16108,4.50345,0.37373,1.0676,1.3406,0.84452,0.75505,0.85949,0.61905,0.76751,0.65003,0.68069,0.34048,0.99494,3.44082,0.3512,0.84004,1.23166,0.005743,0.005743,0.005743
45,53301.6,1.15928,4.48603,0.37274,1.06883,1.34075,0.84796,0.7542,0.86044,0.61985,0.76962,0.65111,0.68316,0.3423,0.99239,3.42809,0.35055,0.83792,1.22876,0.005644,0.005644,0.005644
46,54219.7,1.1567,4.47197,0.37271,1.06342,1.33725,0.8481,0.75598,0.86078,0.62105,0.77197,0.65224,0.68578,0.3438,0.98964,3.41663,0.34999,0.83547,1.22582,0.005545,0.005545,0.005545
47,55286.4,1.15283,4.45893,0.3723,1.06262,1.33442,0.84615,0.75803,0.8617,0.62195,0.77093,0.65594,0.68863,0.34581,0.9867,3.40406,0.34943,0.83265,1.22257,0.005446,0.005446,0.005446
48,56275.9,1.15099,4.45364,0.37155,1.05814,1.33164,0.84876,0.7574,0.86253,0.6231,0.77146,0.65727,0.69097,0.34779,0.98443,3.39242,0.3488,0.83094,1.22002,0.005347,0.005347,0.005347
49,57562.7,1.15068,4.44235,0.37159,1.05541,1.33046,0.8468,0.75882,0.86267,0.62391,0.77529,0.65806,0.6919,0.34928,0.98236,3.37872,0.34825,0.82815,1.21744,0.005248,0.005248,0.005248
50,58654.3,1.14817,4.41362,0.37039,1.05275,1.32764,0.84629,0.76015,0.86333,0.62463,0.77502,0.65759,0.6928,0.35114,0.98055,3.36663,0.34754,0.82621,1.21536,0.005149,0.005149,0.005149
51,60011,1.14172,4.38554,0.36902,1.04439,1.3235,0.84512,0.7637,0.86378,0.62518,0.78359,0.6527,0.69364,0.35251,0.9789,3.35649,0.34685,0.82437,1.21311,0.00505,0.00505,0.00505
52,61402.9,1.14583,4.3968,0.36927,1.04755,1.32501,0.84405,0.76464,0.86457,0.62659,0.78149,0.65762,0.69618,0.35497,0.97719,3.34582,0.34613,0.82222,1.21106,0.004951,0.004951,0.004951
53,62650.4,1.14322,4.37636,0.36858,1.0427,1.32149,0.84142,0.76766,0.86519,0.62699,0.78609,0.65428,0.69786,0.35723,0.97484,3.33458,0.34552,0.81963,1.20861,0.004852,0.004852,0.004852
54,64033.9,1.14188,4.37363,0.36792,1.04269,1.31997,0.83953,0.76952,0.86513,0.62824,0.78608,0.65716,0.70057,0.35979,0.97289,3.32431,0.34497,0.8175,1.2063,0.004753,0.004753,0.004753
55,65376.2,1.1339,4.35553,0.36701,1.03678,1.31666,0.84229,0.76842,0.86584,0.62889,0.78201,0.66019,0.70112,0.36205,0.97075,3.31353,0.34429,0.81553,1.20432,0.004654,0.004654,0.004654
56,67165.3,1.13723,4.3524,0.36698,1.03245,1.31653,0.84514,0.76622,0.86661,0.62969,0.78207,0.66212,0.70192,0.36416,0.96927,3.30299,0.34372,0.81315,1.20206,0.004555,0.004555,0.004555
57,68166,1.13277,4.32338,0.36581,1.02862,1.31075,0.84757,0.76559,0.86698,0.63069,0.78502,0.66227,0.70456,0.3663,0.96779,3.29007,0.34306,0.81067,1.20031,0.004456,0.004456,0.004456
58,69309.8,1.12892,4.32185,0.36539,1.03015,1.3107,0.8449,0.76921,0.86748,0.63157,0.78386,0.66404,0.70535,0.36845,0.96656,3.27786,0.3424,0.80849,1.19879,0.004357,0.004357,0.004357
59,70956.6,1.13059,4.30747,0.36504,1.02568,1.31127,0.84255,0.77424,0.86781,0.63216,0.78465,0.66546,0.70747,0.37014,0.96528,3.2676,0.34185,0.80666,1.19726,0.004258,0.004258,0.004258
60,72391.7,1.12975,4.30435,0.36415,1.02868,1.31263,0.84166,0.77519,0.8684,0.63315,0.78325,0.66766,0.70813,0.37204,0.96358,3.25768,0.34118,0.80452,1.19541,0.004159,0.004159,0.004159
61,73499.8,1.12588,4.28421,0.36355,1.01996,1.30594,0.84023,0.77582,0.86878,0.63397,0.7824,0.66852,0.70783,0.37358,0.96198,3.24608,0.34054,0.80214,1.19356,0.00406,0.00406,0.00406
62,74453.6,1.12463,4.27737,0.36337,1.01857,1.30379,0.84023,0.77661,0.86927,0.63461,0.7876,0.66841,0.71063,0.37622,0.96026,3.23706,0.34001,0.80058,1.1918,0.003961,0.003961,0.003961
63,75701.3,1.12379,4.27259,0.36262,1.01676,1.30244,0.8415,0.77393,0.87017,0.63529,0.79335,0.66782,0.71307,0.37828,0.95926,3.22557,0.3394,0.79869,1.1905,0.003862,0.003862,0.003862
64,76854.7,1.12205,4.24992,0.36207,1.0143,1.30197,0.84249,0.7747,0.8709,0.63624,0.79123,0.66955,0.71432,0.37987,0.9575,3.21545,0.33874,0.79652,1.18857,0.003763,0.003763,0.003763
65,78284.9,1.11682,4.21552,0.36066,1.0082,1.29832,0.84367,0.7733,0.87095,0.63705,0.7941,0.6697,0.71633,0.38191,0.95622,3.20626,0.33814,0.79495,1.18698,0.003664,0.003664,0.003664
66,79615,1.11771,4.23883,0.36157,1.00929,1.29927,0.84511,0.77409,0.87122,0.63768,0.79308,0.67037,0.71711,0.38366,0.95508,3.19839,0.33762,0.79289,1.18552,0.003565,0.003565,0.003565
67,80742.1,1.11611,4.21509,0.36053,1.00775,1.29918,0.84642,0.77267,0.87167,0.63907,0.79762,0.66823,0.71714,0.38496,0.95359,3.19098,0.33699,0.79097,1.18362,0.003466,0.003466,0.003466
68,82278.3,1.11085,4.2102,0.35997,1.00216,1.29336,0.84326,0.77724,0.87229,0.63961,0.80193,0.66798,0.71938,0.38654,0.95197,3.18195,0.33647,0.78873,1.18141,0.003367,0.003367,0.003367
69,84049.5,1.11134,4.19391,0.35962,1.00051,1.29366,0.84616,0.77393,0.87259,0.64083,0.80442,0.67018,0.72083,0.38769,0.95058,3.17418,0.33593,0.78662,1.17963,0.003268,0.003268,0.003268
70,85738.8,1.1112,4.17612,0.3581,0.99721,1.29246,0.8462,0.77433,0.87337,0.64148,0.80408,0.67065,0.72154,0.38939,0.94948,3.16437,0.33542,0.78419,1.17805,0.003169,0.003169,0.003169
71,87035.6,1.10352,4.15716,0.35668,0.9917,1.28702,0.84668,0.77377,0.8737,0.64211,0.80264,0.67317,0.72283,0.39098,0.94883,3.15463,0.3348,0.78178,1.17675,0.00307,0.00307,0.00307
72,88150.1,1.10138,4.15399,0.35748,0.99256,1.28422,0.84807,0.77298,0.87421,0.6427,0.8063,0.67302,0.72293,0.39199,0.94816,3.14613,0.33424,0.7794,1.17572,0.002971,0.002971,0.002971
73,89317.3,1.10038,4.14749,0.35695,0.98848,1.28545,0.8484,0.77582,0.87473,0.64347,0.80441,0.67569,0.72466,0.39358,0.94724,3.13725,0.33372,0.77779,1.17453,0.002872,0.002872,0.002872
74,90453.2,1.0992,4.1344,0.35693,0.98409,1.28303,0.84897,0.77519,0.87514,0.64392,0.8006,0.67952,0.72582,0.39501,0.94618,3.12929,0.33315,0.77571,1.17318,0.002773,0.002773,0.002773
75,91771.5,1.09881,4.12195,0.35587,0.98333,1.2811,0.84738,0.77619,0.87572,0.64509,0.80318,0.679,0.72686,0.39634,0.945,3.1208,0.33258,0.77366,1.17164,0.002674,0.002674,0.002674
