epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,24110.4,1.10935,4.22662,0.36598,0.99762,1.30656,0.83197,0.76795,0.86396,0.62665,0.7795,0.64673,0.68876,0.34365,0.979,3.36833,0.3504,0.8206,1.22007,0.006139,0.006139,0.006139
41,24711.8,1.10577,4.21738,0.36536,0.99602,1.30486,0.83194,0.76921,0.86471,0.62814,0.77974,0.6487,0.68909,0.34528,0.97753,3.35684,0.34967,0.81828,1.2181,0.00604,0.00604,0.00604
42,25313.7,1.10386,4.20806,0.36434,0.98997,1.30166,0.83161,0.77128,0.86534,0.62938,0.77838,0.65208,0.69041,0.34793,0.97619,3.3442,0.34899,0.81647,1.21609,0.005941,0.005941,0.005941
43,25915.6,1.10366,4.19705,0.36398,0.99251,1.30004,0.83385,0.77125,0.86601,0.63026,0.78016,0.65423,0.6925,0.34917,0.97478,3.3337,0.34838,0.81461,1.21401,0.005842,0.005842,0.005842
44,26517.1,1.09891,4.1714,0.36241,0.98535,1.29648,0.83431,0.77125,0.86621,0.63111,0.78475,0.65318,0.69582,0.35132,0.97286,3.32121,0.34764,0.81256,1.21136,0.005743,0.005743,0.005743
45,27119,1.09603,4.16695,0.36246,0.98381,1.294,0.83953,0.7681,0.86657,0.6322,0.7846,0.65507,0.69742,0.35377,0.97065,3.30933,0.347,0.81064,1.2089,0.005644,0.005644,0.005644
46,27720.2,1.09353,4.14272,0.36118,0.97923,1.29083,0.83748,0.77069,0.86674,0.63307,0.78955,0.65618,0.70129,0.3557,0.96844,3.29952,0.34634,0.80872,1.20651,0.005545,0.005545,0.005545
47,28331,1.0943,4.14196,0.36152,0.978,1.29012,0.84203,0.76732,0.86755,0.6343,0.79173,0.65775,0.70341,0.35752,0.9666,3.28861,0.34563,0.807,1.20424,0.005446,0.005446,0.005446
48,28932,1.09449,4.12617,0.36014,0.97603,1.29063,0.8421,0.76921,0.86841,0.63521,0.79273,0.66168,0.70533,0.35979,0.96457,3.28002,0.34496,0.8048,1.20213,0.005347,0.005347,0.005347
49,29533.5,1.08824,4.1103,0.35985,0.97258,1.28698,0.84249,0.77215,0.86905,0.63622,0.78955,0.66735,0.70623,0.36124,0.96246,3.26992,0.3442,0.80273,1.19985,0.005248,0.005248,0.005248
